#gene ID	JGI gene ID					
#polyA	Indicate if gene has polyA tail					
#ortholog_name	gene name of D. discoideum ortholog					
#annotation	gene annotation of D. discoideum ortholog					
#go_terms	"GO terms associated with gene. Biological process, Molecular Function and Cellular Component ontologies are separated by || and each term within the ontology is separated by comma."					
#domains	Protein domain identified in gene. Separated by comma.					
#percent_mapability	The percent of mapable transcript nucleotides 					
#						
gene ID	polyA	ortholog_name	annotation	go_terms	domains	percent_mapability
146505	Y	DDB_G0274693	BRCT domain-containing protein	intracellular	"BRCT, BRCT, BRCT"	35.9025
146507	Y	med24	putative mediator complex subunit 24			35.319
146509	Y	DDB_G0289913				35.9277
146515	Y	GID1.0037204				1.21573
146516	Y	GID1.0037205				13.1816
146517	Y	DDB_G0281263	unknown			2.01015
146518	Y	GID1.0037207		ubiquitin ligase complex | ubiquitin-protein ligase activity | zinc ion binding | protein ubiquitination	"zf-C3HC4, RING, ZF_RING_2, ZF_RING_1"	3.231
146519	Y	GID1.0037208				5.70984
146520	Y	gacF	RhoGAP domain-containing protein	"ATP binding | ATP synthesis coupled proton transport | proton-transporting two-sector ATPase complex | hydrogen-transporting ATP synthase activity, rotational mechanism | hydrogen-transporting ATPase activity, rotational mechanism"	"RhoGAP, RhoGAP, RHOGAP, ATPASE_ALPHA_BETA"	10.4144
146524	Y	GID1.0037213			"EGF_1, EGF_2"	35.2264
146525	Y	GID1.0037214				32.0137
146526	Y	GID1.0037215			"ARM, ARM_REPEAT"	33.0349
146532	Y	GID1.0037221				35.937
146538	Y	GID1.0037227		catalytic activity | fatty acid biosynthesis | metabolism | methyltransferase activity | zinc ion binding | S-adenosylmethionine-dependent methyltransferase activity | oxidoreductase activity | transferase activity | cofactor binding	"ADH_zinc_N, ketoacyl-synt, Acyl_transf_1, Ketoacyl-synt_C, ACP_DOMAIN, MET_TRANS, SAM_BIND, B_KETOACYL_SYNTHASE"	18.1373
146540	Y	GID1.0037229			FNIP	32.5883
146542	Y	GID1.0037231			FNIP	18.928
146543	Y	GID1.0037232			FNIP	26.5517
146552	Y	GID1.0037241				29.1656
146553	Y	GID1.0037242			FNIP	31.5446
146554	Y	GID1.0037243				31.7623
146557	Y	GID1.0037246			FNIP	11.119
146559	Y	GID1.0037248			FNIP	34.5356
146560	Y	GID1.0037249			FNIP	32.5336
146567	Y	GID1.0037256				17.9334
146568	Y	fam91	FAM91 family protein			35.8427
146570	Y	GID1.0037259				35.4935
146576	Y	exdl2A	3'-5' exonuclease domain-containing protein	nucleic acid binding | intracellular | 3'-5' exonuclease activity	"3_5_exonuc, 35EXOc"	35.6698
146582	Y	GID1.0037271		methionyl aminopeptidase activity | proteolysis and peptidolysis | metalloexopeptidase activity	"MAPEPTIDASE, Peptidase_M24, met_pdase_I"	35.2136
146583	Y	GID1.0037272		ubiquitin-protein ligase activity		26.4151
146586	Y	GID1.0037275				35.792
146587	Y	GID1.0037276		protein kinase activity | protein kinase CK2 activity | cAMP-dependent protein kinase activity | cAMP-dependent protein kinase complex | protein kinase CK2 complex | cAMP-dependent protein kinase regulator activity | protein kinase CK2 regulator activity		34.8696
146591	Y	GID1.0037280				10.0583
146592	Y	GID1.0037281				9.4383
146595	Y	GID1.0037284				19.0214
146598	Y	GID1.0037287				35.6861
146599	Y	GID1.0037288				35.1945
146605	Y	GID1.0037294		ubiquitin-protein ligase activity	FNIP	33.6688
146606	Y	GID1.0037295		DNA binding | DNA methylation | N-methyltransferase activity	N6_MTASE	35.444
146609	Y	GID1.0037298		lysosome | lipid metabolism | sphingolipid metabolism	"SAPOSIN, SapB_2, SapB_1, SAPB, SAP_B"	35.9108
146611	Y	GID1.0037300		protein kinase activity | protein serine/threonine kinase activity | protein-tyrosine kinase activity | ATP binding | protein amino acid phosphorylation	"sp_Q86I65_DICDI_Q86I65;, Pkinase, FNIP, TyrKc, S_TKc, PROTEIN_KINASE_DOM, PROTEIN_KINASE_ATP, PROTEIN_KINASE_ST"	35.5294
146619	Y	DDB_G0278003				35.8926
146624	Y	GID1.0037313			TIG	35.6727
146630	Y	DDB_G0278231				26.1108
146631	Y	DDB_G0288341				35.9591
146635	Y	DDB_G0282463	"carbohydrate-binding domain-containing protein, peptidase C19 family protein, putative ubiquitin carboxyl-terminal hydrolase (UCH)"	cysteine-type endopeptidase activity | ubiquitin thiolesterase activity | ubiquitin-dependent protein catabolism	"UCH, Chlam_PMP, UCH_2_3"	35.4383
146637	Y	GID1.0037326		nucleic acid binding	"C2HCZNFINGER, zf-CCHC, ZnF_C2HC, ZF_CCHC"	17.5981
146642	Y	GID1.0037331		nucleic acid binding | ubiquitin-protein ligase activity	"C2HCZNFINGER, zf-CCHC, ZnF_C2HC, ZF_CCHC"	0.499538
146650	Y	DDB_G0268134	Similar to Orgyia pseudotsugata multicapsid polyhedrosis virus (OpMNPV). hypothetical 29.3 kDa protein (ORF92).	chromatin | chromatin binding | nucleus | chromatin assembly or disassembly	"Chromo, CHROMO, CHROMO_2"	32.8025
146659	Y	DDB_G0274845				34.5038
146663	Y	GID1.0037352			FNIP	35.8649
146665	Y	DDB_G0272156				28.4284
146669	Y	gadA	glutamate decarboxylase	glutamate decarboxylase activity | amino acid metabolism | glutamate metabolism | carboxy-lyase activity | pyridoxal phosphate binding	"Pyridoxal_deC, Glu-decarb-GAD"	35.9417
146670	Y	DDB_G0272502				31.8667
146671	Y	GID1.0037360		"uracil DNA N-glycosylase activity | hydrolase activity, hydrolyzing N-glycosyl compounds | single-strand selective uracil DNA N-glycosylase activity | DNA N-glycosylase activity"		30.2755
146674	Y	GID1.0037363				35.7727
146675	Y	GID1.0037364			FNIP	35.9052
146676	Y	GID1.0037365		S-adenosylmethionine-dependent methyltransferase activity	SAM_BIND	35.7745
146678	Y	DDB_G0272186	"TPR_1 repeat-containing protein, tetratricopeptide-like helical domain-containing protein (TPR)"		"TPR, TPR, TPR_REPEAT, TPR_REGION"	35.7646
146682	Y	DDB_G0272178	DUF1715 family protein			35.9028
146684	Y	GID1.0037373				23.4751
146686	Y	GID1.0037375				5.40573
146688	Y	GID1.0037377			LRR	23.9759
146689	Y	GID1.0037378		cell adhesion	"F5_F8_type_C, FA58C, FA58C_3, FA58C_1"	33.8492
146694	Y	GID1.0037383		DNA-directed DNA polymerase activity | alpha DNA polymerase activity | beta DNA polymerase activity | delta DNA polymerase activity | epsilon DNA polymerase activity | zeta DNA polymerase activity | gamma DNA-directed DNA polymerase activity | eta DNA polymerase activity | iota DNA polymerase activity | mu DNA polymerase activity | lambda DNA polymerase activity | kappa DNA polymerase activity | nu DNA polymerase activity | theta DNA polymerase activity | sigma DNA polymerase activity		22.1047
146695	Y	ITPK1	"inositol 1, 3, 4-triphosphate 5/6 kinase, inositol-tetrakisphosphate 1-kinase"	transmembrane receptor protein serine/threonine kinase activity | 3-phosphoinositide-dependent protein kinase activity | DNA-dependent protein kinase activity | AMP-activated protein kinase activity | casein kinase activity | casein kinase I activity | calmodulin regulated protein kinase activity | eukaryotic elongation factor-2 kinase activity | multifunctional calcium- and calmodulin-regulated protein kinase activity | phosphorylase kinase activity | cyclic nucleotide-dependent protein kinase activity | cGMP-dependent protein kinase activity | cyclin-dependent protein kinase activity | eukaryotic translation initiation factor 2alpha kinase activity | galactosyltransferase-associated kinase activity | glycogen synthase kinase 3 activity | protein kinase C activity | calcium-dependent protein kinase C activity | atypical protein kinase C activity | diacylglycerol-activated phospholipid-dependent protein kinase C activity | receptor signaling protein serine/threonine kinase activity | G-protein coupled recepto	Ins134_P3_kin	35.7952
146703	Y	abcG22	ABC transporter G family protein	nucleotide binding | ATP binding | ATPase activity | nucleoside-triphosphatase activity	"sp_Q8T684_DICDI_Q8T684;, ABC_tran, AAA, DA_BOX, ATP_GTP_A2, ABC_TRANSPORTER_2, ABC_TRANSPORTER_1"	35.9152
146705	Y	GID1.0037394		protein kinase activity | protein serine/threonine kinase activity | protein-tyrosine kinase activity | ATP binding | protein amino acid phosphorylation	"sp_Q9SX42_ARATH_Q9SX42;, Pkinase, TPR, TPR, TyrKc, S_TKc, TPR_REPEAT, PROTEIN_KINASE_DOM, PROTEIN_KINASE_TYR"	35.9291
146707	Y	DDB_G0270474				35.7181
146712	Y	DDB_G0269304	RIKEN cDNA 2810403P18.		"SHQ1, HSP20-like chaperones"	35.2077
146713	Y	DDB_G0269302			Ubiq_cyt_C_chap	34.476
146715	Y	GID1.0037404				35.2637
146718	Y	ipo4	importin 4	"protein-nucleus import, docking | 1-phosphatidylinositol 3-kinase | nucleus | nuclear pore | cytoplasm | protein transporter activity | phosphatidylinositol 3-kinase, class I, catalyst activity | phosphatidylinositol 3-kinase, class I, regulator activity | phosphatidylinositol 3-kinase activity"	IMPORTIN_B_NT	35.2711
146727	Y	DDB_G0268684			Mak10	35.4042
146729	Y	GID1.0037418				26.8131
146731	Y	GID1.0037420			FNIP	31.0084
146734	Y	GID1.0037423				30.4438
146739	Y	GID1.0037428				32.1293
146743	Y	GID1.0037432				34.2945
146753	Y	GID1.0037442		protein kinase activity | protein serine/threonine kinase activity | protein-tyrosine kinase activity | ATP binding | protein amino acid phosphorylation	"sp_Q86IX1_DICDI_Q86IX1;, Pkinase, FNIP, TyrKc, S_TKc, PROTEIN_KINASE_DOM, PROTEIN_KINASE_ST"	35.9736
146755	Y	GID1.0037444				12.6087
146757	Y	GID1.0037446				14.4115
146760	Y	serC	"phosphoserine aminotransferase, phosphoserine transaminase"	phosphoserine transaminase activity | L-serine biosynthesis | metabolism | transaminase activity	"sp_SERC_CAEEL_P91856;, Aminotran_5, serC_1, AA_TRANSFER_CLASS_5"	35.7196
146763	Y	mpdu1	"cystinosin/ERS1p repeat-containing protein, transmembrane protein"		"PQ-loop, CTNS"	35.7326
146768	Y	DDB_G0270694	Q19958 Stomatin protein 2.	membrane	"STOMATIN, Band_7, PHB"	34.5177
146769	Y	DDB_G0269722	CG10903 protein (RE22146p).	"rRNA (adenine-N6,N6-)-dimethyltransferase activity | C-terminal protein carboxyl methyltransferase activity | methyltransferase activity | C-methyltransferase activity | N-methyltransferase activity | O-methyltransferase activity | S-methyltransferase activity | RNA methyltransferase activity | mRNA methyltransferase activity | tRNA methyltransferase activity | protein methyltransferase activity | site-specific DNA-methyltransferase (cytosine-specific) activity | 2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity | rRNA methyltransferase activity | rRNA (uridine-2'-O-)-methyltransferase activity | S-adenosylmethionine-dependent methyltransferase activity | DNA-methyltransferase activity | rRNA (cytosine-C5-967)-methyltransferase activity | selenocysteine methyltransferase activity | arginine N-methyltransferase activity | protein-arginine N-methyltransferase activity | lysine N-methyltransferase activity | protein-lysine N-methyltransferase activity | tRNA (uracil) methyltransferase activity |"	SAM_BIND	35.8828
146772	Y	DDB_G0269726		catalytic activity	Prenyltrans	35.5336
146775	Y	DDB_G0269942		integral to membrane | vesicle-mediated transport	"sp_O77434_DROME_O77434;, Synaptobrevin, V_SNARE"	35.101
146788	Y	DDB_G0269976				35.7901
146789	Y	DDB_G0269974				21.5651
146790	Y	GID1.0037479		1-phosphatidylinositol 4-kinase activity		4.01895
146797	Y	GID1.0037486				0.00581395
146801	Y	GID1.0037490				2.93491
146802	Y	GID1.0037491				18.0076
146808	Y	GID1.0037497		microtubule motor activity | ATP binding | microtubule associated complex | microtubule-based movement | plus-end-directed microtubule motor activity	"KINESINHEAVY, Kinesin, KISc, KINESIN_MOTOR_DOMAIN2, KINESIN_MOTOR_DOMAIN1"	35.3347
146813	Y	DDB_G0281687	"RNA recognition motif-containing protein RRM, RNA-binding region RNP-1 domain-containing protein, SWAP/Surp domain-containing protein, regulation of nuclear pre-mRNA domain-containing protein (RPR)"	nucleic acid binding | RNA binding | RNA processing	"RRM_1, Surp, RRM, RPR, SWAP, RRM, SURP"	33.2297
146816	Y	DDB_G0281679	RING zinc finger-containing protein	"ubiquitin ligase complex | ubiquitin-protein ligase activity | uracil DNA N-glycosylase activity | zinc ion binding | protein ubiquitination | hydrolase activity, hydrolyzing N-glycosyl compounds | single-strand selective uracil DNA N-glycosylase activity | DNA N-glycosylase activity"	"zf-C3HC4, RING, ZF_RING_2"	28.2226
146818	Y	nol1	NOL1/NOP2/Sun family protein		"sp_O94268_SCHPO_O94268;, Nol1_Nop2_Fmu, nop2p"	31.1277
146821	Y	GID1.0037510				35.5658
146827	Y	GID1.0037516				20.5935
146833	Y	DDB_G0281749				32.5424
146841	Y	DDB_G0281875		"cob(I)yrinic acid a,c-diamide adenosyltransferase activity"	"sp_Q9D273_MOUSE_Q9D273;, Cob_adeno_trans, PduO_Nterm"	35.7677
146844	Y	comB	Rab GTPase domain-containing protein	ubiquitin-protein ligase activity | GTP binding | small GTPase mediated signal transduction | protein transport	"Ras, RAS, RHO, RAB, TPR_REPEAT"	33.3011
146847	Y	DDB_G0281919				29.62
146850	Y	GID1.0037539			FNIP	23.5103
146855	Y	uch1	Ubiquitin carboxy-terminal hydrolase L1 (Fragment).	ubiquitin thiolesterase activity | intracellular | ubiquitin-dependent protein catabolism	"sp_UBL3_MOUSE_Q9JKB1;, UBCTHYDRLASE, Peptidase_C12"	35.1132
146856	Y	GID1.0037545		catalytic activity | metabolism	Isochorismatase	31.6009
146859	Y	GID1.0037548		ubiquitin ligase complex | ubiquitin-protein ligase activity | zinc ion binding | protein ubiquitination	"zf-C3HC4, RING, ZF_RING_2, ZF_RING_1"	6.90709
146866	Y	GID1.0037555		protein kinase activity | protein kinase CK2 activity | cAMP-dependent protein kinase activity | cAMP-dependent protein kinase complex | protein kinase CK2 complex | cAMP-dependent protein kinase regulator activity | protein kinase CK2 regulator activity		7.43209
146874	Y	GID1.0037563				33.729
146875	Y	GID1.0037564				35.4631
146877	Y	GID1.0037566				32.7005
146878	Y	nvl	"AAA ATPase domain-containing protein, nuclear VCP-like protein, valosin-containing protein"	"nucleotide binding | ATP-dependent DNA helicase activity | ATP-dependent RNA helicase activity | ATP binding | ATP-dependent helicase activity | DNA-dependent ATPase activity | RNA-dependent ATPase activity | protein-transporting ATPase activity | DNA translocase activity | ATPase activity | nucleoside-triphosphatase activity | single-stranded DNA-dependent ATP-dependent DNA helicase activity | ATPase activity, coupled | ATPase activity, uncoupled | ATPase activity, coupled to transmembrane movement of ions | ATPase activity, coupled to transmembrane movement of substances"	"AAA, AAA"	34.8006
146888	Y	pdhA	pyruvate dehydrogenase E1 alpha subunit	"pyruvate dehydrogenase (acetyl-transferring) activity | metabolism | oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor"	E1_dh	35.874
146891	Y	GID1.0037580				3.43536
146892	Y	GID1.0037581				10.7136
146893	Y	GID1.0037582		RNA binding | ATP binding | immune response | transferase activity	25A_SYNTH_3	6.7558
146905	Y	GID1.0037594				33.5275
146906	Y	DDB_G0281991				35.9058
146909	Y	GID1.0037598				33.633
146910	Y	GID1.0037599		guanylate cyclase activity | intracellular protein transport | receptor guanylate cyclase activity | protein transporter activity | membrane	VPS10	33.3652
146922	Y	GID1.0037611				10.9343
146927	Y	CYP508B1	cytochrome P450 family protein	monooxygenase activity | electron transport	"P450, EP450I, p450, EGF_1, CYTOCHROME_P450, EGF_2"	35.4082
146930	Y	GID1.0037619				16.4819
146951	Y	dcd1A	"acid N-acylsphingosine amidohydrolase-like protein, acid ceramidase-like protein"			34.8087
146953	Y	GID1.0037642				23.5421
146955	Y	GID1.0037644			"EGF_1, EGF_2"	35.2583
146956	Y	GID1.0037645				33.966
146960	Y	DDB_G0278817			"Glycos_transf_2, GLYC_TRANS"	34.2542
146963	Y	GID1.0037652				30.9427
146965	Y	GID1.0037654				35.5175
146978	Y	DDB_G0280831		catalytic activity | metabolism	"PGAM, PG_MUTASE, BPD_TRANSP_INN_MEMBR"	35.4938
146982	Y	pter	phosphotriesterase-related protein	"zinc ion binding | catabolism | hydrolase activity, acting on ester bonds"	PTE	35.1683
146986	Y	DDB_G0283087	"carboxylesterase,  type B family protein, putative cholinesterase"	catalytic activity | electron transport	"COesterase, ESTERASE, CYTOCHROME_P450, CARBOXYLESTERASE_B_1, CARBOXYLESTERASE_B_2"	34.1763
146993	Y	mcm8	MCM family protein	nucleotide binding | DNA binding | ATP binding | DNA replication initiation | cell adhesion | cell-matrix adhesion | DNA-dependent ATPase activity | integrin complex | nucleoside-triphosphatase activity	"sp_Q86US4_HUMAN_Q86US4;, MCMFAMILY, MCM, MCM, AAA, MCM_2, INTEGRIN_ALPHA"	34.6495
146994	Y	DDB_G0283011	putative t-SNARE family protein		"t_SNARE, T_SNARE"	35.7784
146999	Y	DDB_G0282957	unknown			35.8341
147000	Y	iksA	"IKS family protein kinase, IQ calmodulin-binding domain-containing protein, putative protein kinase, putative transmembrane protein"	protein kinase activity | protein serine/threonine kinase activity | protein-tyrosine kinase activity | ATP binding | protein amino acid phosphorylation	"sp_Q95UF4_ANCCA_Q95UF4;, Pkinase, TyrKc, S_TKc, PROTEIN_KINASE_DOM, PROTEIN_KINASE_ATP, PROTEIN_KINASE_ST"	34.9856
147006	Y	DDB_G0283039		metal ion binding	"sp_Q8IUH5_HUMAN_Q8IUH5;, zf-DHHC, ZF_DHHC"	35.1876
147008	Y	DDB_G0283305				34.6657
147009	Y	DDB_G0283339		extracellular region | hemolysis	"HEMOLYSIN_PORE, EGF_1, EGF_2"	34.9764
147016	Y	GID1.0037705				20.2468
147018	Y	GID1.0037707				1.37086
147031	Y	purC%2FE	bifunctional enzyme composed of SAICAR synthase and AIR carboxylase%2C that catalyze steps in %3Ci%3Ede novo%3C%2Fi%3E DNA synthesis	phosphoribosylaminoimidazole carboxylase activity | phosphoribosylaminoimidazolesuccinocarboxamide synthase activity | purine nucleotide biosynthesis | 'de novo' IMP biosynthesis | phosphoribosylaminoimidazole carboxylase complex	"sp_Q8FYW3_BRUSU_Q8FYW3;, sp_Q9I7S8_DROME_Q9I7S8;, AIRC, SAICAR_synt, ATP-grasp, purK, purE, SAICAR_SYNTHETASE_1"	35.9025
147033	Y	sec1	"Sec1-like family protein, putative syntaxin binding protein"	vesicle docking during exocytosis | vesicle-mediated transport	Sec1	35.9541
147037	Y	DDB_G0274311	"GRIM-19 domain-containing protein, NADH-ubiquinone oxidoreductase"			35.518
147040	Y	DDB_G0274323				35.951
147050	Y	DDB_G0274275	AT1-46. 11/98	"ATP binding | ATP synthesis coupled proton transport | proton-transporting two-sector ATPase complex | hydrogen-transporting ATP synthase activity, rotational mechanism | hydrogen-transporting ATPase activity, rotational mechanism"	ATPASE_ALPHA_BETA	34.2538
147052	Y	DDB_G0274473				35.231
147058	Y	DDB_G0274527	"COBW domain-containing protein, cobalamin (vitamin B12) biosynthesis family protein, cobalamin synthesis protein/P47K family protein"		cobW	35.1921
147060	Y	rcdBB	random cDNA clone veg113	extracellular region	"Transglycosylas, LYZ1"	34.5965
147065	Y	GID1.0037754				33.7797
147072	Y	DDB_G0274643	Similar to Dictyostelium discoideum (Slime mold). carbonic anhydrase.	carbonate dehydratase activity | zinc ion binding | carbon utilization	"Pro_CA, PROK_CO2_ANHYDRASE_1, PROK_CO2_ANHYDRASE_2"	35.5437
147075	Y	DDB_G0275019				35.8673
147079	Y	DDB_G0274581	"BRD group protein, bromodomain-containing protein"		"BROMODOMAIN, Bromodomain, BROMO, BROMODOMAIN_2"	33.3344
147080	Y	GID1.0037769				32.6494
147081	Y	aqr	ortholog of the mammalian aquarius (AQR) protein%2C an intron-binding spliceosomal protein required to link pre-mRNA splicing and snoRNP (small nucleolar ribonucleoprotein) biogenesis		CRYSTALLIN_BETAGAMMA	34.2809
147084	Y	DDB_G0274335				35.906
147090	Y	DDB_G0274877		"transcription factor activity | signal transducer activity | nucleus | regulation of transcription, DNA-dependent | signal transduction | zinc ion binding"	"ZN2_CY6_FUNGAL_2, PAS"	34.4823
147099	Y	DG1124	calcium-binding EF-hand domain-containing protein	calcium ion binding	EF_HAND_2	32.9059
147101	Y	GID1.0037790				23.5458
147103	Y	DDB_G0274435	Similar to Dictyostelium discoideum (Slime mold). glutamine-asparagine rich protein.			28.4116
147104	Y	DDB_G0274433			"CBS, CBS, SNF4_REP"	35.875
147119	Y	DDB_G0274663	P90893 Putative serine protease F56F10.1 precursor (EC 3.4.-.-).	catalytic activity | proteolysis and peptidolysis | serine-type peptidase activity	"Peptidase_S28, ESTERASE"	35.9126
147125	Y	DDB_G0274487	Similar to hypothetical ORF; Yor161cp.		DUF580	33.8256
147129	Y	DDB_G0274681				32.2685
147132	Y	GID1.0037821				24.4466
147133	Y	DDB_G0287833				35.6587
147134	Y	DDB_G0287831				34.7626
147136	Y	rpl38	S60 ribosomal protein L38	structural constituent of ribosome | intracellular | ribosome | protein biosynthesis	"sp_RL38_CAEEL_O17570;, Ribosomal_L38e"	35.8451
147137	Y	DDB_G0267642				34.7742
147138	Y	DDB_G0267448	ERG4/ERG24 ergosterol biosynthesis protein family protein	membrane	"ERG4_ERG24, STEROL_REDUCT_1"	35.8101
147142	Y	nmd3	conserved NMD3 protein%2C which in S. cerevisiae is involved in the nuclear export of the large ribosomal subunit		NMD3	34.9012
147143	Y	DDB_G0268450				34.6382
147144	Y	DDB_G0268452	v-SNARE family protein	intracellular protein transport | integral to membrane	V-SNARE	34.0353
147148	Y	DDB_G0267488				35.1705
147152	Y	GID1.0037841		ubiquitin ligase complex | ubiquitin-protein ligase activity | zinc ion binding | protein ubiquitination	"zf-C3HC4, RING, ZF_RING_2, ZF_RING_1"	2.28273
